都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,573,2422,2995,93,NA,2012-10-04
JP-02,青森県,0,0,529,718,1247,25,NA,2012-10-04
JP-03,岩手県,0,0,666,41303,41969,27,※1,2012-10-04
JP-04,宮城県,0,0,1028,113759,114787,34,※1,2012-10-04
JP-05,秋田県,0,0,486,841,1327,20,NA,2012-10-04
JP-06,山形県,0,0,605,10801,11406,34,NA,2012-10-04
JP-07,福島県,0,0,NA,99229,99229,48,※1,2012-10-04
JP-08,茨城県,0,0,596,5248,5844,42,NA,2012-10-04
JP-09,栃木県,0,0,857,2091,2948,25,NA,2012-10-04
JP-10,群馬県,0,0,238,1615,1853,29,NA,2012-10-04
JP-11,埼玉県,186,0,0,4075,4261,56,NA,2012-10-04
JP-12,千葉県,0,NA,3894,NA,3894,46,NA,2012-10-04
JP-13,東京都,0,0,2221,7001,9222,55,NA,2012-10-04
JP-14,神奈川県,0,0,0,2904,2904,25,※1,2012-10-04
JP-15,新潟県,0,0,361,6005,6366,29,※1,2012-10-04
JP-16,富山県,0,0,76,259,335,10,NA,2012-10-04
JP-17,石川県,0,0,108,372,480,11,NA,2012-10-04
JP-18,福井県,0,0,67,256,323,16,NA,2012-10-04
JP-19,山梨県,0,0,242,597,839,21,NA,2012-10-04
JP-20,長野県,0,0,132,1264,1396,45,NA,2012-10-04
JP-21,岐阜県,0,0,140,207,347,28,NA,2012-10-04
JP-22,静岡県,0,0,367,946,1313,32,NA,2012-10-04
JP-23,愛知県,0,0,219,1024,1243,46,NA,2012-10-04
JP-24,三重県,0,0,103,398,501,18,NA,2012-10-04
JP-25,滋賀県,0,0,237,125,362,15,NA,2012-10-04
JP-26,京都府,0,NA,263,747,1010,18,NA,2012-10-04
JP-27,大阪府,0,0,297,915,1212,31,NA,2012-10-04
JP-28,兵庫県,0,0,341,713,1054,28,NA,2012-10-04
JP-29,奈良県,0,0,87,104,191,18,NA,2012-10-04
JP-30,和歌山県,0,0,38,87,125,14,NA,2012-10-04
JP-31,鳥取県,0,0,57,148,205,14,NA,2012-10-04
JP-32,島根県,0,0,22,114,136,12,NA,2012-10-04
JP-33,岡山県,0,0,244,594,838,19,NA,2012-10-04
JP-34,広島県,0,0,198,370,568,16,NA,2012-10-04
JP-35,山口県,0,0,51,119,170,13,NA,2012-10-04
JP-36,徳島県,0,0,37,54,91,12,NA,2012-10-04
JP-37,香川県,0,0,14,90,104,9,NA,2012-10-04
JP-38,愛媛県,0,0,145,53,198,12,NA,2012-10-04
JP-39,高知県,0,0,75,73,148,15,NA,2012-10-04
JP-40,福岡県,0,0,169,599,768,37,NA,2012-10-04
JP-41,佐賀県,0,0,37,242,279,10,NA,2012-10-04
JP-42,長崎県,0,0,46,105,151,12,NA,2012-10-04
JP-43,熊本県,0,0,112,219,331,23,NA,2012-10-04
JP-44,大分県,0,0,79,280,359,16,NA,2012-10-04
JP-45,宮崎県,0,0,79,173,252,10,NA,2012-10-04
JP-46,鹿児島県,0,0,97,169,266,27,NA,2012-10-04
JP-47,沖縄県,0,0,69,957,1026,28,NA,2012-10-04
