都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,699,2364,3063,102,NA,2012-03-22
JP-02,青森県,0,0,623,801,1424,26,NA,2012-03-22
JP-03,岩手県,0,0,788,41983,42771,28,※1,2012-03-22
JP-04,宮城県,0,0,995,126957,127952,34,※1,2012-03-22
JP-05,秋田県,0,0,636,908,1544,20,NA,2012-03-22
JP-06,山形県,0,59,681,12953,13693,34,NA,2012-03-22
JP-07,福島県,0,0,NA,98221,98221,47,※1,2012-03-22
JP-08,茨城県,0,0,620,5286,5906,41,NA,2012-03-22
JP-09,栃木県,0,0,871,2251,3122,25,NA,2012-03-22
JP-10,群馬県,0,0,296,1782,2078,27,NA,2012-03-22
JP-11,埼玉県,388,0,0,4187,4575,57,NA,2012-03-22
JP-12,千葉県,0,NA,3687,NA,3687,47,NA,2012-03-22
JP-13,東京都,0,0,2520,6758,9278,56,NA,2012-03-22
JP-14,神奈川県,0,0,0,2892,2892,2,※1,2012-03-22
JP-15,新潟県,0,0,421,6690,7111,30,※1,2012-03-22
JP-16,富山県,0,0,100,291,391,11,NA,2012-03-22
JP-17,石川県,0,0,126,406,532,13,NA,2012-03-22
JP-18,福井県,0,0,80,367,447,16,NA,2012-03-22
JP-19,山梨県,0,1,260,583,844,21,NA,2012-03-22
JP-20,長野県,0,0,167,1197,1364,48,NA,2012-03-22
JP-21,岐阜県,0,0,199,211,410,29,NA,2012-03-22
JP-22,静岡県,0,0,420,974,1394,32,NA,2012-03-22
JP-23,愛知県,0,0,250,1018,1268,47,NA,2012-03-22
JP-24,三重県,0,0,83,330,413,13,NA,2012-03-22
JP-25,滋賀県,0,0,254,132,386,16,NA,2012-03-22
JP-26,京都府,0,NA,244,818,1062,18,NA,2012-03-22
JP-27,大阪府,0,0,298,1030,1328,30,NA,2012-03-22
JP-28,兵庫県,0,0,389,675,1064,27,NA,2012-03-22
JP-29,奈良県,0,0,68,86,154,18,NA,2012-03-22
JP-30,和歌山県,0,0,43,88,131,13,NA,2012-03-22
JP-31,鳥取県,0,0,54,143,197,14,NA,2012-03-22
JP-32,島根県,0,0,23,120,143,12,NA,2012-03-22
JP-33,岡山県,0,2,213,454,669,19,NA,2012-03-22
JP-34,広島県,0,0,154,389,543,15,NA,2012-03-22
JP-35,山口県,0,0,84,122,206,13,NA,2012-03-22
JP-36,徳島県,0,0,73,97,170,13,NA,2012-03-22
JP-37,香川県,0,0,32,70,102,9,NA,2012-03-22
JP-38,愛媛県,0,0,151,78,229,13,NA,2012-03-22
JP-39,高知県,0,0,83,61,144,16,NA,2012-03-22
JP-40,福岡県,0,0,183,549,732,39,NA,2012-03-22
JP-41,佐賀県,0,0,64,251,315,11,NA,2012-03-22
JP-42,長崎県,0,0,63,117,180,14,NA,2012-03-22
JP-43,熊本県,0,0,116,194,310,24,NA,2012-03-22
JP-44,大分県,0,0,82,274,356,15,NA,2012-03-22
JP-45,宮崎県,0,0,101,165,266,13,NA,2012-03-22
JP-46,鹿児島県,0,0,103,175,278,26,NA,2012-03-22
JP-47,沖縄県,0,37,104,859,1000,26,NA,2012-03-22
