ISO 3166-2コード,所在都道府県,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,所在判明市区町村数,計,注釈,年月日
JP-01,北海道,0,0,692,2383,3075,102,NA,2012-03-08
JP-02,青森県,0,0,602,811,1413,26,NA,2012-03-08
JP-03,岩手県,0,0,788,42001,42789,28,※1,2012-03-08
JP-04,宮城県,0,0,1019,126773,127792,34,※1,2012-03-08
JP-05,秋田県,0,0,636,908,1544,20,NA,2012-03-08
JP-06,山形県,0,63,682,12985,13730,34,NA,2012-03-08
JP-07,福島県,0,0,NA,97946,97946,47,※1,2012-03-08
JP-08,茨城県,0,0,647,5393,6040,41,NA,2012-03-08
JP-09,栃木県,0,0,925,2269,3194,25,NA,2012-03-08
JP-10,群馬県,0,0,300,1784,2084,27,NA,2012-03-08
JP-11,埼玉県,568,0,0,4206,4774,57,NA,2012-03-08
JP-12,千葉県,0,NA,3666,3666,NA,47,NA,2012-03-08
JP-13,東京都,0,0,2528,6764,9292,56,NA,2012-03-08
JP-14,神奈川県,0,0,0,2887,2887,2,※1,2012-03-08
JP-15,新潟県,0,0,424,6667,7091,30,※1,2012-03-08
JP-16,富山県,0,0,96,290,386,11,NA,2012-03-08
JP-17,石川県,0,0,127,400,527,13,NA,2012-03-08
JP-18,福井県,0,0,80,367,447,16,NA,2012-03-08
JP-19,山梨県,0,1,261,582,844,21,NA,2012-03-08
JP-20,長野県,0,0,182,1186,1368,49,NA,2012-03-08
JP-21,岐阜県,0,0,186,226,412,29,NA,2012-03-08
JP-22,静岡県,0,0,421,975,1396,32,NA,2012-03-08
JP-23,愛知県,0,0,254,1030,1284,46,NA,2012-03-08
JP-24,三重県,0,0,85,332,417,13,NA,2012-03-08
JP-25,滋賀県,0,0,257,133,390,16,NA,2012-03-08
JP-26,京都府,0,NA,249,810,1059,18,NA,2012-03-08
JP-27,大阪府,0,0,298,1033,1331,30,NA,2012-03-08
JP-28,兵庫県,0,0,390,678,1068,27,NA,2012-03-08
JP-29,奈良県,0,0,68,86,154,18,NA,2012-03-08
JP-30,和歌山県,0,0,43,88,131,13,NA,2012-03-08
JP-31,鳥取県,0,0,55,140,195,14,NA,2012-03-08
JP-32,島根県,0,0,22,119,141,12,NA,2012-03-08
JP-33,岡山県,0,2,213,454,669,19,NA,2012-03-08
JP-34,広島県,0,0,148,384,532,14,NA,2012-03-08
JP-35,山口県,0,0,84,118,202,13,NA,2012-03-08
JP-36,徳島県,0,0,72,97,169,14,NA,2012-03-08
JP-37,香川県,0,0,32,67,99,9,NA,2012-03-08
JP-38,愛媛県,0,0,151,79,230,13,NA,2012-03-08
JP-39,高知県,0,0,83,58,141,16,NA,2012-03-08
JP-40,福岡県,0,0,181,530,711,40,NA,2012-03-08
JP-41,佐賀県,0,0,75,249,324,11,NA,2012-03-08
JP-42,長崎県,0,0,63,111,174,14,NA,2012-03-08
JP-43,熊本県,0,0,116,191,307,24,NA,2012-03-08
JP-44,大分県,0,0,84,274,358,15,NA,2012-03-08
JP-45,宮崎県,0,0,101,164,255,13,NA,2012-03-08
JP-46,鹿児島県,0,0,102,171,273,26,NA,2012-03-08
JP-47,沖縄県,0,20,102,847,969,26,NA,2012-03-08
