都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,924,2106,3030,99,NA,2011-11-17
JP-02,青森県,0,1,599,522,1122,28,NA,2011-11-17
JP-03,岩手県,0,0,885,41587,42472,20,※1,2011-11-17
JP-04,宮城県,31,16,191,121991,122229,35,※1,2011-11-17
JP-05,秋田県,0,45,727,808,1580,20,NA,2011-11-17
JP-06,山形県,12,130,663,12711,13516,34,NA,2011-11-17
JP-07,福島県,41,92,NA,94210,94343,59,※1,2011-11-17
JP-08,茨城県,16,31,634,2342,3023,39,NA,2011-11-17
JP-09,栃木県,0,9,948,1740,2697,25,NA,2011-11-17
JP-10,群馬県,0,0,309,1724,2033,28,NA,2011-11-17
JP-11,埼玉県,670,6,0,4245,4921,56,NA,2011-11-17
JP-12,千葉県,0,NA,3675,NA,3675,46,NA,2011-11-17
JP-13,東京都,7,301,2467,6094,8869,55,NA,2011-11-17
JP-14,神奈川県,0,0,0,2087,2087,2,※1,2011-11-17
JP-15,新潟県,0,6,472,6504,6982,30,※1,2011-11-17
JP-16,富山県,0,0,106,331,437,11,NA,2011-11-17
JP-17,石川県,0,1,122,417,540,13,NA,2011-11-17
JP-18,福井県,0,20,92,377,489,16,NA,2011-11-17
JP-19,山梨県,0,0,295,540,835,21,NA,2011-11-17
JP-20,長野県,0,7,215,945,1167,48,NA,2011-11-17
JP-21,岐阜県,0,0,191,232,423,29,NA,2011-11-17
JP-22,静岡県,0,16,464,968,1448,33,NA,2011-11-17
JP-23,愛知県,0,0,250,1002,1252,46,NA,2011-11-17
JP-24,三重県,0,0,41,148,189,12,NA,2011-11-17
JP-25,滋賀県,0,0,267,136,403,16,NA,2011-11-17
JP-26,京都府,0,NA,238,811,1049,18,NA,2011-11-17
JP-27,大阪府,0,0,294,1117,1411,33,NA,2011-11-17
JP-28,兵庫県,0,0,413,659,1072,28,NA,2011-11-17
JP-29,奈良県,0,0,67,89,156,17,NA,2011-11-17
JP-30,和歌山県,0,0,49,70,119,14,NA,2011-11-17
JP-31,鳥取県,0,0,41,131,172,15,NA,2011-11-17
JP-32,島根県,0,0,20,125,145,11,NA,2011-11-17
JP-33,岡山県,0,0,151,344,495,18,NA,2011-11-17
JP-34,広島県,0,0,171,325,496,13,NA,2011-11-17
JP-35,山口県,0,0,100,99,199,13,NA,2011-11-17
JP-36,徳島県,0,0,72,89,161,14,NA,2011-11-17
JP-37,香川県,0,0,27,63,90,8,NA,2011-11-17
JP-38,愛媛県,0,0,174,92,266,12,NA,2011-11-17
JP-39,高知県,0,0,80,54,134,15,NA,2011-11-17
JP-40,福岡県,0,0,220,491,711,37,NA,2011-11-17
JP-41,佐賀県,0,0,68,241,309,11,NA,2011-11-17
JP-42,長崎県,0,0,79,108,187,14,NA,2011-11-17
JP-43,熊本県,0,0,100,164,264,26,NA,2011-11-17
JP-44,大分県,0,0,111,261,372,16,NA,2011-11-17
JP-45,宮崎県,0,0,97,148,245,13,NA,2011-11-17
JP-46,鹿児島県,0,0,103,165,268,26,NA,2011-11-17
JP-47,沖縄県,0,29,92,699,820,22,NA,2011-11-17
