都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,935,2082,3017,100,NA,2012-01-12
JP-02,青森県,0,0,602,514,1116,27,NA,2012-01-12
JP-03,岩手県,0,0,876,42999,43875,27,※1,2012-01-12
JP-04,宮城県,0,0,137,124871,125008,35,※1,2012-01-12
JP-05,秋田県,0,0,676,895,1571,20,NA,2012-01-12
JP-06,山形県,0,67,655,13001,13723,34,NA,2012-01-12
JP-07,福島県,0,2,NA,96833,96835,47,※1,2012-01-12
JP-08,茨城県,0,0,649,2899,3548,41,NA,2012-01-12
JP-09,栃木県,0,0,973,1803,2776,25,NA,2012-01-12
JP-10,群馬県,0,0,317,1731,2048,27,NA,2012-01-12
JP-11,埼玉県,607,1,0,4217,4825,56,NA,2012-01-12
JP-12,千葉県,0,NA,3643,NA,3643,46,NA,2012-01-12
JP-13,東京都,6,0,2571,6529,9106,56,NA,2012-01-12
JP-14,神奈川県,0,0,0,2852,2852,2,※1,2012-01-12
JP-15,新潟県,0,1,441,6639,7081,30,※1,2012-01-12
JP-16,富山県,0,0,94,304,398,11,NA,2012-01-12
JP-17,石川県,0,0,140,379,519,13,NA,2012-01-12
JP-18,福井県,0,18,85,372,475,16,NA,2012-01-12
JP-19,山梨県,0,0,260,573,833,21,NA,2012-01-12
JP-20,長野県,0,0,198,976,1174,48,NA,2012-01-12
JP-21,岐阜県,0,0,184,243,427,29,NA,2012-01-12
JP-22,静岡県,0,10,446,981,1437,32,NA,2012-01-12
JP-23,愛知県,0,0,250,1012,1262,45,NA,2012-01-12
JP-24,三重県,0,0,81,344,425,13,NA,2012-01-12
JP-25,滋賀県,0,0,261,130,391,16,NA,2012-01-12
JP-26,京都府,0,NA,246,804,1050,18,NA,2012-01-12
JP-27,大阪府,0,0,294,1171,1465,34,NA,2012-01-12
JP-28,兵庫県,0,0,401,655,1056,27,NA,2012-01-12
JP-29,奈良県,0,0,64,87,151,16,NA,2012-01-12
JP-30,和歌山県,0,0,46,83,129,14,NA,2012-01-12
JP-31,鳥取県,0,0,45,136,181,15,NA,2012-01-12
JP-32,島根県,0,0,21,124,145,12,NA,2012-01-12
JP-33,岡山県,0,2,199,418,619,18,NA,2012-01-12
JP-34,広島県,0,0,179,342,521,14,NA,2012-01-12
JP-35,山口県,0,0,80,116,196,13,NA,2012-01-12
JP-36,徳島県,0,0,72,93,165,14,NA,2012-01-12
JP-37,香川県,0,0,34,63,97,8,NA,2012-01-12
JP-38,愛媛県,0,0,181,85,266,12,NA,2012-01-12
JP-39,高知県,0,0,82,59,141,16,NA,2012-01-12
JP-40,福岡県,0,0,195,511,706,37,NA,2012-01-12
JP-41,佐賀県,0,0,72,247,319,12,NA,2012-01-12
JP-42,長崎県,0,0,64,115,179,14,NA,2012-01-12
JP-43,熊本県,0,0,117,171,288,23,NA,2012-01-12
JP-44,大分県,0,0,89,268,357,15,NA,2012-01-12
JP-45,宮崎県,0,0,99,153,252,13,NA,2012-01-12
JP-46,鹿児島県,0,0,104,165,269,26,NA,2012-01-12
JP-47,沖縄県,0,48,98,756,902,23,NA,2012-01-12
