都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,691,2366,3057,102,NA,2012-02-23
JP-02,青森県,0,0,609,801,1410,27,NA,2012-02-23
JP-03,岩手県,0,0,791,42562,43353,28,※1,2012-02-23
JP-04,宮城県,0,0,1021,126693,127714,34,※1,2012-02-23
JP-05,秋田県,0,0,655,904,1559,20,NA,2012-02-23
JP-06,山形県,0,67,671,12998,13736,34,NA,2012-02-23
JP-07,福島県,0,0,NA,97433,97433,47,※1,2012-02-23
JP-08,茨城県,0,0,622,5054,5676,41,NA,2012-02-23
JP-09,栃木県,0,0,925,2272,3197,25,NA,2012-02-23
JP-10,群馬県,0,0,293,1781,2074,27,NA,2012-02-23
JP-11,埼玉県,572,0,0,4208,4780,57,NA,2012-02-23
JP-12,千葉県,0,NA,3631,NA,3631,47,NA,2012-02-23
JP-13,東京都,6,0,2535,6685,9226,56,NA,2012-02-23
JP-14,神奈川県,0,0,0,2875,2875,2,※1,2012-02-23
JP-15,新潟県,0,0,421,6674,7095,30,※1,2012-02-23
JP-16,富山県,0,0,96,301,397,11,NA,2012-02-23
JP-17,石川県,0,0,138,381,519,14,NA,2012-02-23
JP-18,福井県,0,0,79,378,457,16,NA,2012-02-23
JP-19,山梨県,0,0,262,578,840,21,NA,2012-02-23
JP-20,長野県,0,0,191,1192,1383,49,NA,2012-02-23
JP-21,岐阜県,0,0,191,231,422,29,NA,2012-02-23
JP-22,静岡県,0,10,420,974,1404,32,NA,2012-02-23
JP-23,愛知県,0,0,251,1014,1265,46,NA,2012-02-23
JP-24,三重県,0,0,85,349,434,13,NA,2012-02-23
JP-25,滋賀県,0,0,261,130,391,16,NA,2012-02-23
JP-26,京都府,0,NA,252,807,1059,18,NA,2012-02-23
JP-27,大阪府,0,0,298,1148,1446,30,NA,2012-02-23
JP-28,兵庫県,0,0,400,675,1075,27,NA,2012-02-23
JP-29,奈良県,0,0,68,86,154,18,NA,2012-02-23
JP-30,和歌山県,0,0,43,88,131,13,NA,2012-02-23
JP-31,鳥取県,0,0,51,139,190,14,NA,2012-02-23
JP-32,島根県,0,0,22,120,142,12,NA,2012-02-23
JP-33,岡山県,0,2,211,445,658,18,NA,2012-02-23
JP-34,広島県,0,0,147,382,529,14,NA,2012-02-23
JP-35,山口県,0,0,80,118,198,13,NA,2012-02-23
JP-36,徳島県,0,0,72,97,169,14,NA,2012-02-23
JP-37,香川県,0,0,31,67,98,8,NA,2012-02-23
JP-38,愛媛県,0,0,147,79,226,13,NA,2012-02-23
JP-39,高知県,0,0,82,58,140,16,NA,2012-02-23
JP-40,福岡県,0,0,188,526,714,40,NA,2012-02-23
JP-41,佐賀県,0,0,72,248,320,11,NA,2012-02-23
JP-42,長崎県,0,0,62,116,178,14,NA,2012-02-23
JP-43,熊本県,0,0,116,195,311,24,NA,2012-02-23
JP-44,大分県,0,0,83,271,354,15,NA,2012-02-23
JP-45,宮崎県,0,0,99,157,256,13,NA,2012-02-23
JP-46,鹿児島県,0,0,104,168,272,26,NA,2012-02-23
JP-47,沖縄県,0,28,102,857,987,26,NA,2012-02-23
