都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,563,2422,2985,95,NA,2012-11-01
JP-02,青森県,0,0,529,712,1241,25,NA,2012-11-01
JP-03,岩手県,0,0,638,41057,41695,27,※1,2012-11-01
JP-04,宮城県,0,0,1028,112689,113717,35,※1,2012-11-01
JP-05,秋田県,0,0,490,821,1311,20,NA,2012-11-01
JP-06,山形県,0,0,610,10511,11121,34,NA,2012-11-01
JP-07,福島県,0,0,NA,99139,99139,48,※1,2012-11-01
JP-08,茨城県,0,0,604,5255,5859,42,NA,2012-11-01
JP-09,栃木県,0,0,858,2082,2940,25,NA,2012-11-01
JP-10,群馬県,0,0,207,1643,1850,29,NA,2012-11-01
JP-11,埼玉県,171,0,0,4052,4223,56,NA,2012-11-01
JP-12,千葉県,0,NA,3914,NA,3914,46,NA,2012-11-01
JP-13,東京都,0,0,2219,7008,9227,55,NA,2012-11-01
JP-14,神奈川県,0,0,0,2879,2879,25,※1,2012-11-01
JP-15,新潟県,0,0,363,5890,6253,29,※1,2012-11-01
JP-16,富山県,0,0,76,255,331,10,NA,2012-11-01
JP-17,石川県,0,0,110,360,470,11,NA,2012-11-01
JP-18,福井県,0,0,66,262,328,16,NA,2012-11-01
JP-19,山梨県,0,0,242,596,838,21,NA,2012-11-01
JP-20,長野県,0,0,137,1249,1386,45,NA,2012-11-01
JP-21,岐阜県,0,0,140,204,344,28,NA,2012-11-01
JP-22,静岡県,0,0,348,905,1253,32,NA,2012-11-01
JP-23,愛知県,0,0,215,1027,1242,46,NA,2012-11-01
JP-24,三重県,0,0,101,408,509,18,NA,2012-11-01
JP-25,滋賀県,0,0,237,124,361,15,NA,2012-11-01
JP-26,京都府,0,NA,263,739,1002,18,NA,2012-11-01
JP-27,大阪府,0,0,297,896,1193,31,NA,2012-11-01
JP-28,兵庫県,0,0,343,712,1055,28,NA,2012-11-01
JP-29,奈良県,0,0,87,100,187,18,NA,2012-11-01
JP-30,和歌山県,0,0,38,88,126,14,NA,2012-11-01
JP-31,鳥取県,0,0,57,148,205,14,NA,2012-11-01
JP-32,島根県,0,0,22,114,136,12,NA,2012-11-01
JP-33,岡山県,0,0,244,602,846,19,NA,2012-11-01
JP-34,広島県,0,0,203,370,573,16,NA,2012-11-01
JP-35,山口県,0,0,51,117,168,13,NA,2012-11-01
JP-36,徳島県,0,0,37,54,91,12,NA,2012-11-01
JP-37,香川県,0,0,13,89,102,9,NA,2012-11-01
JP-38,愛媛県,0,0,145,53,198,12,NA,2012-11-01
JP-39,高知県,0,0,75,73,148,15,NA,2012-11-01
JP-40,福岡県,0,0,167,589,756,37,NA,2012-11-01
JP-41,佐賀県,0,0,39,240,279,10,NA,2012-11-01
JP-42,長崎県,0,0,46,105,151,12,NA,2012-11-01
JP-43,熊本県,0,0,105,215,320,23,NA,2012-11-01
JP-44,大分県,0,0,79,279,358,16,NA,2012-11-01
JP-45,宮崎県,0,0,77,171,248,10,NA,2012-11-01
JP-46,鹿児島県,0,0,95,177,272,27,NA,2012-11-01
JP-47,沖縄県,0,0,69,959,1028,28,NA,2012-11-01
