都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,565,2416,2981,94,NA,2012-12-06
JP-02,青森県,0,0,516,682,1198,24,NA,2012-12-06
JP-03,岩手県,0,0,641,40985,41626,27,※1,2012-12-06
JP-04,宮城県,0,0,1035,110973,112008,35,※1,2012-12-06
JP-05,秋田県,0,0,497,810,1307,20,NA,2012-12-06
JP-06,山形県,0,0,601,10092,10693,34,NA,2012-12-06
JP-07,福島県,0,0,NA,98235,98235,48,※1,2012-12-06
JP-08,茨城県,0,0,596,5293,5889,42,NA,2012-12-06
JP-09,栃木県,0,0,863,2041,2904,25,NA,2012-12-06
JP-10,群馬県,0,0,210,1618,1828,28,NA,2012-12-06
JP-11,埼玉県,159,0,0,4004,4163,56,NA,2012-12-06
JP-12,千葉県,0,NA,3936,NA,3936,46,NA,2012-12-06
JP-13,東京都,0,0,2198,6979,9177,55,NA,2012-12-06
JP-14,神奈川県,0,0,0,2791,2791,25,※1,2012-12-06
JP-15,新潟県,0,0,353,5846,6199,29,※1,2012-12-06
JP-16,富山県,0,0,73,258,331,10,NA,2012-12-06
JP-17,石川県,0,0,110,361,471,11,NA,2012-12-06
JP-18,福井県,0,0,69,263,332,16,NA,2012-12-06
JP-19,山梨県,0,0,236,593,829,21,NA,2012-12-06
JP-20,長野県,0,0,143,1184,1327,45,NA,2012-12-06
JP-21,岐阜県,0,0,138,200,338,28,NA,2012-12-06
JP-22,静岡県,0,0,343,899,1242,32,NA,2012-12-06
JP-23,愛知県,0,0,213,1033,1246,46,NA,2012-12-06
JP-24,三重県,0,0,101,411,512,17,NA,2012-12-06
JP-25,滋賀県,0,0,233,124,357,15,NA,2012-12-06
JP-26,京都府,0,0,269,741,1010,17,NA,2012-12-06
JP-27,大阪府,0,0,297,884,1181,31,NA,2012-12-06
JP-28,兵庫県,0,0,318,714,1032,28,NA,2012-12-06
JP-29,奈良県,0,0,86,97,183,18,NA,2012-12-06
JP-30,和歌山県,0,0,38,82,120,14,NA,2012-12-06
JP-31,鳥取県,0,0,57,148,205,14,NA,2012-12-06
JP-32,島根県,0,0,22,110,132,13,NA,2012-12-06
JP-33,岡山県,0,0,261,620,881,19,NA,2012-12-06
JP-34,広島県,0,0,208,372,580,17,NA,2012-12-06
JP-35,山口県,0,0,51,118,169,13,NA,2012-12-06
JP-36,徳島県,0,0,37,54,91,12,NA,2012-12-06
JP-37,香川県,0,0,13,89,102,8,NA,2012-12-06
JP-38,愛媛県,0,0,146,49,195,12,NA,2012-12-06
JP-39,高知県,0,0,75,73,148,15,NA,2012-12-06
JP-40,福岡県,0,0,167,594,761,37,NA,2012-12-06
JP-41,佐賀県,0,0,41,237,278,10,NA,2012-12-06
JP-42,長崎県,0,0,46,105,151,12,NA,2012-12-06
JP-43,熊本県,0,0,100,283,383,23,NA,2012-12-06
JP-44,大分県,0,0,71,277,348,16,NA,2012-12-06
JP-45,宮崎県,0,0,86,174,260,10,NA,2012-12-06
JP-46,鹿児島県,0,0,93,177,270,27,NA,2012-12-06
JP-47,沖縄県,0,0,74,959,1033,29,NA,2012-12-06
