都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,553,2386,2939,91,NA,2013-02-07
JP-02,青森県,0,0,514,645,1159,24,NA,2013-02-07
JP-03,岩手県,0,0,338,40270,40608,27,※1,2013-02-07
JP-04,宮城県,0,0,1038,108599,109637,35,※1,2013-02-07
JP-05,秋田県,0,0,497,785,1282,20,NA,2013-02-07
JP-06,山形県,0,0,579,9505,10084,34,NA,2013-02-07
JP-07,福島県,0,0,NA,97022,97022,48,※1,2013-02-07
JP-08,茨城県,0,0,604,4771,5375,41,NA,2013-02-07
JP-09,栃木県,0,0,492,2617,3109,25,NA,2013-02-07
JP-10,群馬県,0,0,215,1588,1803,28,NA,2013-02-07
JP-11,埼玉県,139,0,0,3898,4037,56,NA,2013-02-07
JP-12,千葉県,0,NA,3954,NA,3954,46,NA,2013-02-07
JP-13,東京都,0,0,2196,6882,9078,55,NA,2013-02-07
JP-14,神奈川県,0,0,0,2758,2758,25,※1,2013-02-07
JP-15,新潟県,0,0,302,5650,5952,29,※1,2013-02-07
JP-16,富山県,0,0,73,252,325,10,NA,2013-02-07
JP-17,石川県,0,0,108,363,471,11,NA,2013-02-07
JP-18,福井県,0,0,69,256,325,15,NA,2013-02-07
JP-19,山梨県,0,0,161,665,826,21,NA,2013-02-07
JP-20,長野県,0,0,140,1150,1290,46,NA,2013-02-07
JP-21,岐阜県,0,0,133,206,339,28,NA,2013-02-07
JP-22,静岡県,0,0,332,872,1204,32,NA,2013-02-07
JP-23,愛知県,0,0,211,1020,1231,46,NA,2013-02-07
JP-24,三重県,0,0,97,403,500,17,NA,2013-02-07
JP-25,滋賀県,0,0,227,124,351,15,NA,2013-02-07
JP-26,京都府,0,0,270,744,1014,16,NA,2013-02-07
JP-27,大阪府,0,0,297,879,1176,31,NA,2013-02-07
JP-28,兵庫県,0,0,314,723,1037,28,NA,2013-02-07
JP-29,奈良県,0,0,90,97,187,18,NA,2013-02-07
JP-30,和歌山県,0,0,39,81,120,13,NA,2013-02-07
JP-31,鳥取県,0,0,53,150,203,13,NA,2013-02-07
JP-32,島根県,0,0,24,109,133,13,NA,2013-02-07
JP-33,岡山県,0,0,274,631,905,19,NA,2013-02-07
JP-34,広島県,0,0,216,362,578,16,NA,2013-02-07
JP-35,山口県,0,0,52,111,163,13,NA,2013-02-07
JP-36,徳島県,0,0,37,51,88,12,NA,2013-02-07
JP-37,香川県,0,0,13,87,100,8,NA,2013-02-07
JP-38,愛媛県,0,0,146,56,202,12,NA,2013-02-07
JP-39,高知県,0,0,71,69,140,15,NA,2013-02-07
JP-40,福岡県,0,0,157,590,747,37,NA,2013-02-07
JP-41,佐賀県,0,0,41,230,271,10,NA,2013-02-07
JP-42,長崎県,0,0,53,99,152,12,NA,2013-02-07
JP-43,熊本県,0,0,104,281,385,23,NA,2013-02-07
JP-44,大分県,0,0,66,276,342,16,NA,2013-02-07
JP-45,宮崎県,0,0,85,177,262,10,NA,2013-02-07
JP-46,鹿児島県,0,0,96,174,270,27,NA,2013-02-07
JP-47,沖縄県,0,0,81,981,1062,29,NA,2013-02-07
