都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,0,524,2263,2787,90,NA,2013-10-10
JP-02,青森県,0,0,424,390,814,23,NA,2013-10-10
JP-03,岩手県,0,0,342,36483,36825,29,※1,2013-10-10
JP-04,宮城県,0,0,1078,94085,95163,35,※1,2013-10-10
JP-05,秋田県,0,0,476,661,1137,20,NA,2013-10-10
JP-06,山形県,0,0,561,6472,7033,33,NA,2013-10-10
JP-07,福島県,0,0,NA,89924,89924,47,※1,2013-10-10
JP-08,茨城県,0,0,612,4435,5047,42,NA,2013-10-10
JP-09,栃木県,0,0,566,2484,3050,25,NA,2013-10-10
JP-10,群馬県,0,0,225,1365,1590,27,NA,2013-10-10
JP-11,埼玉県,67,0,0,3111,3178,56,NA,2013-10-10
JP-12,千葉県,0,NA,4043,NA,4043,45,NA,2013-10-10
JP-13,東京都,0,0,2141,6590,8731,56,NA,2013-10-10
JP-14,神奈川県,0,0,0,2487,2487,24,※1,2013-10-10
JP-15,新潟県,0,0,246,4720,4966,28,※1,2013-10-10
JP-16,富山県,0,0,63,225,288,10,NA,2013-10-10
JP-17,石川県,0,0,64,347,411,11,NA,2013-10-10
JP-18,福井県,0,0,47,228,275,14,NA,2013-10-10
JP-19,山梨県,0,0,151,648,799,21,NA,2013-10-10
JP-20,長野県,0,0,148,1050,1198,43,NA,2013-10-10
JP-21,岐阜県,0,0,115,198,313,26,NA,2013-10-10
JP-22,静岡県,0,0,294,810,1104,32,NA,2013-10-10
JP-23,愛知県,0,0,190,1043,1233,45,NA,2013-10-10
JP-24,三重県,0,0,93,395,488,15,NA,2013-10-10
JP-25,滋賀県,0,0,209,108,317,14,NA,2013-10-10
JP-26,京都府,0,0,313,652,965,16,NA,2013-10-10
JP-27,大阪府,0,0,185,822,1007,30,NA,2013-10-10
JP-28,兵庫県,0,0,267,684,951,26,NA,2013-10-10
JP-29,奈良県,0,0,91,78,169,18,NA,2013-10-10
JP-30,和歌山県,0,0,37,64,101,12,NA,2013-10-10
JP-31,鳥取県,0,0,50,135,185,12,NA,2013-10-10
JP-32,島根県,0,0,24,102,126,13,NA,2013-10-10
JP-33,岡山県,0,0,307,707,1014,19,NA,2013-10-10
JP-34,広島県,0,0,195,316,511,15,NA,2013-10-10
JP-35,山口県,0,0,44,111,155,13,NA,2013-10-10
JP-36,徳島県,0,0,31,43,74,12,NA,2013-10-10
JP-37,香川県,0,0,13,84,97,7,NA,2013-10-10
JP-38,愛媛県,0,0,139,46,185,11,NA,2013-10-10
JP-39,高知県,0,0,63,61,124,15,NA,2013-10-10
JP-40,福岡県,0,0,142,583,725,37,NA,2013-10-10
JP-41,佐賀県,0,0,24,192,216,9,NA,2013-10-10
JP-42,長崎県,0,0,53,91,144,10,NA,2013-10-10
JP-43,熊本県,0,0,107,291,398,20,NA,2013-10-10
JP-44,大分県,0,0,47,220,267,15,NA,2013-10-10
JP-45,宮崎県,0,0,78,184,262,11,NA,2013-10-10
JP-46,鹿児島県,0,0,75,161,236,27,NA,2013-10-10
JP-47,沖縄県,0,0,54,944,998,30,NA,2013-10-10
