都道府県コード,都道府県名,住宅等市区町村数（公営、応急仮設、民間賃貸等）,親族・知人宅等,病院等,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,2167,526,2,2695,89,NA,2014-03-13
JP-02,青森県,338,411,14,763,23,NA,2014-03-13
JP-03,岩手県,34139,350,5,34494,29,※1,2014-03-13
JP-04,宮城県,87473,1097,5,88575,35,※1,2014-03-13
JP-05,秋田県,630,454,0,1084,20,NA,2014-03-13
JP-06,山形県,5331,569,82,5982,32,NA,2014-03-13
JP-07,福島県,84221,NA,NA,84221,47,※1,2014-03-13
JP-08,茨城県,4177,658,43,4878,42,NA,2014-03-13
JP-09,栃木県,2292,624,108,3024,25,NA,2014-03-13
JP-10,群馬県,1166,235,128,1529,26,NA,2014-03-13
JP-11,埼玉県,2888,0,0,2888,54,NA,2014-03-13
JP-12,千葉県,565,3399,1,3965,45,NA,2014-03-13
JP-13,東京都,5977,1923,33,7933,55,NA,2014-03-13
JP-14,神奈川県,2352,0,0,2352,24,※1,2014-03-13
JP-15,新潟県,4467,199,60,4726,28,NA,2014-03-13
JP-16,富山県,218,63,3,284,10,NA,2014-03-13
JP-17,石川県,328,57,4,389,11,NA,2014-03-13
JP-18,福井県,217,45,0,262,13,NA,2014-03-13
JP-19,山梨県,595,130,0,725,21,NA,2014-03-13
JP-20,長野県,1012,156,0,1168,42,NA,2014-03-13
JP-21,岐阜県,207,110,0,317,25,NA,2014-03-13
JP-22,静岡県,779,303,5,1087,30,NA,2014-03-13
JP-23,愛知県,1037,172,0,1209,44,NA,2014-03-13
JP-24,三重県,394,95,0,489,15,NA,2014-03-13
JP-25,滋賀県,101,198,0,299,14,NA,2014-03-13
JP-26,京都府,602,326,0,928,16,NA,2014-03-13
JP-27,大阪府,754,185,0,939,30,NA,2014-03-13
JP-28,兵庫県,640,276,0,916,26,NA,2014-03-13
JP-29,奈良県,77,89,0,166,16,NA,2014-03-13
JP-30,和歌山県,63,37,0,100,12,NA,2014-03-13
JP-31,鳥取県,131,52,0,183,11,NA,2014-03-13
JP-32,島根県,90,28,2,120,13,NA,2014-03-13
JP-33,岡山県,730,330,0,1060,19,NA,2014-03-13
JP-34,広島県,270,196,1,467,15,NA,2014-03-13
JP-35,山口県,104,44,0,148,12,NA,2014-03-13
JP-36,徳島県,42,31,0,73,12,NA,2014-03-13
JP-37,香川県,81,13,0,94,7,NA,2014-03-13
JP-38,愛媛県,44,139,2,185,11,NA,2014-03-13
JP-39,高知県,57,49,0,106,13,NA,2014-03-13
JP-40,福岡県,562,138,0,700,37,NA,2014-03-13
JP-41,佐賀県,183,24,0,207,9,NA,2014-03-13
JP-42,長崎県,91,52,0,143,10,NA,2014-03-13
JP-43,熊本県,289,108,0,397,21,NA,2014-03-13
JP-44,大分県,209,44,1,254,15,NA,2014-03-13
JP-45,宮崎県,166,70,0,236,11,NA,2014-03-13
JP-46,鹿児島県,153,77,1,231,25,NA,2014-03-13
JP-47,沖縄県,911,51,5,967,30,NA,2014-03-13
