都道府県コード,都道府県名,避難所（公民館、学校等）,旅館・ホテル,その他（親族・知人宅等）,住宅等（公営、仮設、民間、病院含む）,計,所在判明市区町村数,注釈,年月日
JP-01,北海道,0,5,939,2105,3049,100,NA,2011-10-20
JP-02,青森県,0,1,628,491,1120,27,NA,2011-10-20
JP-03,岩手県,0,8,878,1036,1922,25,※1 ※2,2011-10-20
JP-04,宮城県,225,43,53,NA,321,5,NA,2011-10-20
JP-05,秋田県,0,104,778,751,1633,20,NA,2011-10-20
JP-06,山形県,12,182,707,12103,13004,34,NA,2011-10-20
JP-07,福島県,79,1070,NA,NA,1149,18,NA,2011-10-20
JP-08,茨城県,19,46,684,2196,2945,39,NA,2011-10-20
JP-09,栃木県,0,39,962,1709,2710,25,NA,2011-10-20
JP-10,群馬県,0,39,324,1692,2055,28,NA,2011-10-20
JP-11,埼玉県,726,6,0,4252,4984,57,NA,2011-10-20
JP-12,千葉県,0,NA,3701,NA,3701,47,NA,2011-10-20
JP-13,東京都,8,327,2293,5480,8108,51,NA,2011-10-20
JP-14,神奈川県,0,0,0,1543,1543,2,※2,2011-10-20
JP-15,新潟県,0,12,548,6238,6798,30,※2,2011-10-20
JP-16,富山県,0,0,111,355,466,12,NA,2011-10-20
JP-17,石川県,0,1,124,402,527,12,NA,2011-10-20
JP-18,福井県,0,19,96,386,501,16,NA,2011-10-20
JP-19,山梨県,0,16,296,546,858,21,NA,2011-10-20
JP-20,長野県,0,10,218,929,1157,49,NA,2011-10-20
JP-21,岐阜県,0,0,192,225,417,29,NA,2011-10-20
JP-22,静岡県,0,156,372,923,1451,33,NA,2011-10-20
JP-23,愛知県,0,0,277,984,1261,47,NA,2011-10-20
JP-24,三重県,0,0,41,148,189,12,NA,2011-10-20
JP-25,滋賀県,0,0,272,134,406,16,NA,2011-10-20
JP-26,京都府,0,NA,243,790,1033,18,NA,2011-10-20
JP-27,大阪府,0,0,294,1107,1401,33,NA,2011-10-20
JP-28,兵庫県,0,0,420,645,1065,28,NA,2011-10-20
JP-29,奈良県,0,0,67,87,154,17,NA,2011-10-20
JP-30,和歌山県,0,0,50,73,123,14,NA,2011-10-20
JP-31,鳥取県,0,0,43,129,172,14,NA,2011-10-20
JP-32,島根県,0,0,20,129,149,11,NA,2011-10-20
JP-33,岡山県,0,0,161,342,503,18,NA,2011-10-20
JP-34,広島県,0,0,173,327,500,15,NA,2011-10-20
JP-35,山口県,0,0,100,88,188,13,NA,2011-10-20
JP-36,徳島県,0,0,72,87,159,14,NA,2011-10-20
JP-37,香川県,0,0,25,60,85,8,NA,2011-10-20
JP-38,愛媛県,0,0,175,92,267,12,NA,2011-10-20
JP-39,高知県,0,0,71,62,133,16,NA,2011-10-20
JP-40,福岡県,0,0,221,493,714,37,NA,2011-10-20
JP-41,佐賀県,0,0,70,240,310,11,NA,2011-10-20
JP-42,長崎県,0,0,72,109,181,14,NA,2011-10-20
JP-43,熊本県,0,0,99,164,263,26,NA,2011-10-20
JP-44,大分県,0,0,113,256,369,16,NA,2011-10-20
JP-45,宮崎県,0,0,96,147,243,12,NA,2011-10-20
JP-46,鹿児島県,0,0,114,155,269,24,NA,2011-10-20
JP-47,沖縄県,0,31,100,671,802,22,NA,2011-10-20
