都道府県コード,都道府県名,計,年月日
JP-01,北海道,2550,2011-07-28
JP-02,青森県,1169,2011-07-28
JP-03,岩手県,4892,2011-07-28
JP-04,宮城県,10282,2011-07-28
JP-05,秋田県,1657,2011-07-28
JP-06,山形県,8578,2011-07-28
JP-07,福島県,13192,2011-07-28
JP-08,茨城県,2365,2011-07-28
JP-09,栃木県,2803,2011-07-28
JP-10,群馬県,2303,2011-07-28
JP-11,埼玉県,2653,2011-07-28
JP-12,千葉県,3537,2011-07-28
JP-13,東京都,7204,2011-07-28
JP-14,神奈川県,1463,2011-07-28
JP-15,新潟県,7344,2011-07-28
JP-16,富山県,499,2011-07-28
JP-17,石川県,569,2011-07-28
JP-18,福井県,503,2011-07-28
JP-19,山梨県,876,2011-07-28
JP-20,長野県,1235,2011-07-28
JP-21,岐阜県,379,2011-07-28
JP-22,静岡県,1481,2011-07-28
JP-23,愛知県,1257,2011-07-28
JP-24,三重県,199,2011-07-28
JP-25,滋賀県,423,2011-07-28
JP-26,京都府,790,2011-07-28
JP-27,大阪府,999,2011-07-28
JP-28,兵庫県,1008,2011-07-28
JP-29,奈良県,139,2011-07-28
JP-30,和歌山県,101,2011-07-28
JP-31,鳥取県,147,2011-07-28
JP-32,島根県,168,2011-07-28
JP-33,岡山県,420,2011-07-28
JP-34,広島県,428,2011-07-28
JP-35,山口県,193,2011-07-28
JP-36,徳島県,123,2011-07-28
JP-37,香川県,81,2011-07-28
JP-38,愛媛県,262,2011-07-28
JP-39,高知県,135,2011-07-28
JP-40,福岡県,604,2011-07-28
JP-41,佐賀県,281,2011-07-28
JP-42,長崎県,169,2011-07-28
JP-43,熊本県,235,2011-07-28
JP-44,大分県,378,2011-07-28
JP-45,宮崎県,148,2011-07-28
JP-46,鹿児島県,247,2011-07-28
JP-47,沖縄県,594,2011-07-28
JP-01,北海道,3090,2011-08-11
JP-02,青森県,1192,2011-08-11
JP-03,岩手県,5092,2011-08-11
JP-04,宮城県,7361,2011-08-11
JP-05,秋田県,1882,2011-08-11
JP-06,山形県,10890,2011-08-11
JP-07,福島県,9077,2011-08-11
JP-08,茨城県,2480,2011-08-11
JP-09,栃木県,2799,2011-08-11
JP-10,群馬県,2211,2011-08-11
JP-11,埼玉県,2528,2011-08-11
JP-12,千葉県,3591,2011-08-11
JP-13,東京都,7244,2011-08-11
JP-14,神奈川県,1513,2011-08-11
JP-15,新潟県,6765,2011-08-11
JP-16,富山県,508,2011-08-11
JP-17,石川県,551,2011-08-11
JP-18,福井県,503,2011-08-11
JP-19,山梨県,895,2011-08-11
JP-20,長野県,1240,2011-08-11
JP-21,岐阜県,387,2011-08-11
JP-22,静岡県,1505,2011-08-11
JP-23,愛知県,1287,2011-08-11
JP-24,三重県,199,2011-08-11
JP-25,滋賀県,421,2011-08-11
JP-26,京都府,800,2011-08-11
JP-27,大阪府,1039,2011-08-11
JP-28,兵庫県,1046,2011-08-11
JP-29,奈良県,145,2011-08-11
JP-30,和歌山県,102,2011-08-11
JP-31,鳥取県,167,2011-08-11
JP-32,島根県,162,2011-08-11
JP-33,岡山県,424,2011-08-11
JP-34,広島県,429,2011-08-11
JP-35,山口県,203,2011-08-11
JP-36,徳島県,128,2011-08-11
JP-37,香川県,76,2011-08-11
JP-38,愛媛県,260,2011-08-11
JP-39,高知県,135,2011-08-11
JP-40,福岡県,624,2011-08-11
JP-41,佐賀県,313,2011-08-11
JP-42,長崎県,171,2011-08-11
JP-43,熊本県,232,2011-08-11
JP-44,大分県,376,2011-08-11
JP-45,宮崎県,159,2011-08-11
JP-46,鹿児島県,265,2011-08-11
JP-47,沖縄県,632,2011-08-11
JP-01,北海道,3220,2011-08-25
JP-02,青森県,1209,2011-08-25
JP-03,岩手県,4233,2011-08-25
JP-04,宮城県,6038,2011-08-25
JP-05,秋田県,2531,2011-08-25
JP-06,山形県,11413,2011-08-25
JP-07,福島県,6683,2011-08-25
JP-08,茨城県,2477,2011-08-25
JP-09,栃木県,2772,2011-08-25
JP-10,群馬県,2201,2011-08-25
JP-11,埼玉県,4552,2011-08-25
JP-12,千葉県,3618,2011-08-25
JP-13,東京都,8555,2011-08-25
JP-14,神奈川県,1498,2011-08-25
JP-15,新潟県,6541,2011-08-25
JP-16,富山県,501,2011-08-25
